name,group,year,value,lastValue,flag,color
AIR INDIA,AIR INDIA,2000,773000,761000,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2001,730000,773000,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2002,725000,730000,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2003,902000,725000,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2004,988000,902000,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2005,6735623,988000,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2006,7058594,6735623,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2007,7478981,7058594,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2008,5800830,7478981,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2009,6871311,5800830,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2010,7937811,6871311,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2011,8711624,7937811,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2012,9683582,8711624,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2013,10355226,9683582,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2014,11727171,10355226,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
AIR INDIA,AIR INDIA,2015,12742163,11727171,https://flightdelaypay.com/wp-content/uploads/2017/09/air_india.png,#eb7904
